agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i,sepmin
213385,179.4504, 12.040, 42.0, 3102., 8.90, 9.11, 0.2116,-17.52, 8.8403, 0.2697,422.96
210968,179.8908, 13.887, 25.1, 1784., 8.89, 8.90, 0.0121,-17.56, 8.8548, 0.0452,399.86
224234,180.2337, 10.499, 40.5, 2999., 8.73, 8.78, 0.0531,-17.32, 8.7603, 0.0197,399.10
  7001,180.2933, 14.104, 25.9, 1844., 9.52, 9.28,-0.2426,-18.97, 9.4187,-0.1387,379.20
  7003,180.3396, 14.450, 23.4, 1621., 8.19, 8.78, 0.5920,-15.56, 8.0554, 0.7246,381.41
  7002,180.3492, 13.400, 16.7, 1267., 9.14, 8.52,-0.6196,-18.44, 9.2083,-0.6883,369.56
211006,180.3646, 14.034, 25.5, 1814., 9.03, 8.94,-0.0934,-17.98, 9.0221,-0.0821,374.30
224978,180.4379,  8.683, 34.1, 2538., 8.65, 8.30,-0.3469,-17.13, 8.6826,-0.3826,438.33
224235,180.8129, 10.108, 39.0, 2890., 8.75, 8.45,-0.3039,-17.18, 8.7029,-0.2529,376.57
225882,180.8596, 13.459, 23.6, 1640., 7.53, 8.15, 0.6221,-13.58, 7.2623, 0.8877,340.33
222046,180.9000, 16.056, 17.5, 1261., 8.92, 8.10,-0.8245,-17.86, 8.9748,-0.8748,388.58
  7038,180.9608, 14.551,  9.9, 1224., 7.47, 7.99, 0.5185,-13.48, 7.2257, 0.7643,348.48
  7048,181.0483, 10.854, 37.2, 2756.,10.05, 9.20,-0.8509,-20.76,10.1379,-0.9379,346.68
224237,181.1962, 10.626, 39.3, 2914., 8.49, 8.43,-0.0634,-16.59, 8.4683,-0.0383,343.36
220074,181.3862, 14.490, 26.0, 1845., 8.58, 7.73,-0.8460,-16.87, 8.5817,-0.8517,323.85
226030,182.0862, 12.501, 36.0, 2656., 7.59, 8.00, 0.4093,-14.21, 7.5173, 0.4827,266.61
220133,182.1296, 15.097, 16.7,  917., 7.45, 7.92, 0.4713,-14.28, 7.5445, 0.3755,298.48
220150,182.3537, 13.574, 30.1, 2314., 8.97, 8.69,-0.2756,-17.89, 8.9870,-0.2970,255.24
  7149,182.4771, 13.049, 30.1, 2870., 8.81, 8.38,-0.4256,-17.33, 8.7645,-0.3845,243.92
  7150,182.5075, 14.366, 16.7, 1149., 8.06, 8.34, 0.2768,-15.33, 7.9634, 0.3766,260.10
224602,182.5137, 11.714, 39.2, 2894., 8.56, 8.18,-0.3768,-16.73, 8.5234,-0.3434,249.08
220168,182.6008, 13.171, 30.1, 2033., 8.59, 8.16,-0.4289,-17.00, 8.6302,-0.4702,237.36
220167,182.5958, 10.188, 16.7,  825., 8.60, 7.75,-0.8520,-16.98, 8.6251,-0.8751,281.97
220171,182.6487, 11.761, 16.7, 1633., 8.41, 8.41, 0.0009,-16.53, 8.4445,-0.0345,240.70
  7169,182.6563, 16.032, 16.7, 2496., 9.43, 9.24,-0.1941,-19.16, 9.4942,-0.2542,304.73
224696,182.6583, 13.022, 37.0, 2728., 7.93, 8.26, 0.3252,-15.04, 7.8493, 0.4107,233.23
220172,182.6700, 14.646, 16.7, 2797., 7.21, 7.89, 0.6772,-13.42, 7.1997, 0.6903,258.28
220176,182.7375,  9.219, 22.9, 2582., 8.61, 8.28,-0.3294,-16.93, 8.6055,-0.3255,311.22
  7181,182.7912, 13.587, 16.7,  598., 8.49, 8.48,-0.0118,-16.58, 8.4630, 0.0170,230.42
224241,183.0050, 10.398, 27.3, 1976., 7.89, 8.19, 0.2987,-14.87, 7.7781, 0.4119,254.86
  7201,183.0488, 13.246, 30.1, 2208., 9.47, 8.36,-1.1056,-19.32, 9.5609,-1.2009,211.95
  7200,183.0629, 12.488, 16.7,  327., 8.31, 8.68, 0.3667,-16.36, 8.3745, 0.3055,209.57
220195,183.0946,  6.979, 24.2, 2426., 7.74, 7.46,-0.2764,-14.86, 7.7774,-0.3174,403.11
  7209,183.1346, 12.123, 30.1, 2545., 9.78, 9.50,-0.2768,-19.84, 9.7673,-0.2673,208.18
