agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i
102728,  0.0892, 31.022,  9.1,  236., 6.31, 6.78, 0.4736,-10.77, 6.1410, 0.6390
102735,  0.5054, 30.983, 40.6, 2548., 7.97, 8.84, 0.8664,-15.01, 7.8371, 1.0029
     8,  0.8117, 16.146, 13.2,  695., 9.64, 8.96,-0.6756,-20.24, 9.9292,-0.9692
    17,  0.9300, 15.218, 12.8,  520., 8.02, 8.41, 0.3874,-15.34, 7.9662, 0.4438
102736,  0.9671, 30.279, 41.4, 2605., 8.95, 8.61,-0.3413,-17.86, 8.9758,-0.3658
100037,  1.5104, 27.349, 44.8, 2845., 8.85, 8.76,-0.0930,-17.34, 8.7693,-0.0093
748778,  1.6429, 15.511,  4.6,  -97., 5.40, 6.36, 0.9605, -8.47, 5.2204, 1.1396
102558,  1.7692, 27.024, 41.7, 2625., 7.97, 8.27, 0.2977,-15.15, 7.8939, 0.3761
748779,  1.9658, 15.755, 12.4,  496., 5.65, 7.09, 1.4357, -9.74, 5.7299, 1.3601
    75,  2.1929, 15.816, 12.5,  501., 8.98, 8.82,-0.1567,-17.87, 8.9784,-0.1584
101812,  2.2033, 14.034, 27.0, 1562., 7.47, 8.73, 1.2644,-13.84, 7.3678, 1.3622
102624,  2.2642, 25.463, 19.9, 1053., 8.07, 7.82,-0.2453,-15.35, 7.9716,-0.1516
100062,  2.4708, 15.735, 12.7,  516., 7.89, 7.82,-0.0656,-15.05, 7.8524,-0.0324
101772,  2.7858, 14.240, 11.7,  448., 7.37, 7.54, 0.1719,-13.61, 7.2769, 0.2631
101813,  3.0612, 15.257, 26.7, 1549., 7.80, 7.74,-0.0557,-14.87, 7.7788,-0.0388
102302,  3.2013, 14.525, 25.7, 1477., 8.01, 8.79, 0.7824,-15.15, 7.8932, 0.8968
   119,  3.2629, 14.409, 28.4, 1673., 9.31, 9.16,-0.1524,-18.70, 9.3136,-0.1536
100726,  3.4108, 15.675, 27.3, 1592., 7.87, 8.79, 0.9207,-14.90, 7.7900, 1.0000
101814,  3.5733, 15.852, 27.3, 1596., 7.47, 7.86, 0.3933,-14.06, 7.4544, 0.4056
   290,  7.2850, 15.899, 11.1,  419., 7.70, 8.37, 0.6711,-14.39, 7.5869, 0.7831
102655,  7.5567, 24.300, 23.1, 1318., 7.73, 7.81, 0.0827,-14.55, 7.6512, 0.1588
102229,  9.6000, 25.436, 45.9, 2987., 8.38, 8.94, 0.5577,-16.06, 8.2569, 0.6831
102665, 10.6104, 25.184, 45.4, 2960., 8.90, 9.14, 0.2386,-17.70, 8.9100, 0.2300
102670, 11.3263, 24.145, 27.9, 1700., 7.98, 8.14, 0.1638,-15.10, 7.8722, 0.2678
113910, 18.7254, 31.272, 31.2, 2005., 8.16, 8.43, 0.2737,-15.52, 8.0399, 0.3901
113753, 20.2588, 26.089, 42.2, 2805., 8.02, 8.33, 0.3052,-15.35, 7.9713, 0.3587
113921, 21.2033, 31.311, 31.4, 2039., 7.92, 8.34, 0.4175,-15.28, 7.9449, 0.3951
110379, 22.5642, 14.677, 33.1, 2145., 8.28, 9.20, 0.9194,-16.04, 8.2483, 0.9517
  1084, 22.8421, 23.954, 46.4, 3121., 8.72, 9.50, 0.7759,-17.15, 8.6905, 0.8095
112454, 23.2488, 14.373,  9.3,  368., 7.45, 8.01, 0.5644,-14.01, 7.4343, 0.5757
114027, 23.6737, 14.643, 10.1,  432., 6.54, 7.40, 0.8576,-11.93, 6.6026, 0.7974
112465, 23.7921, 24.007, 45.0, 3025., 8.89, 9.52, 0.6316,-17.69, 8.9092, 0.6108
112455, 24.1012, 14.529, 35.7, 2340., 8.88, 8.44,-0.4410,-17.64, 8.8870,-0.4470
112504, 24.1704, 15.087, 35.4, 2325., 8.13, 8.42, 0.2873,-15.82, 8.1602, 0.2598
748819, 24.3546, 14.661, 35.0, 2294., 7.79, 8.78, 0.9928,-14.48, 7.6257, 1.1543
112503, 24.5012, 14.983, 10.2,  447., 7.03, 7.14, 0.1098,-13.28, 7.1431,-0.0031
  1195, 25.6125, 13.977, 10.6,  480., 8.68, 8.86, 0.1801,-16.90, 8.5919, 0.2681
  1211, 25.9788, 13.806, 32.4, 2112., 8.71, 8.98, 0.2729,-17.17, 8.7009, 0.2791
  1244, 26.7062, 24.465, 42.1, 2843., 9.30, 9.34, 0.0421,-18.59, 9.2698, 0.0702
113730, 28.4758, 23.913, 39.2, 2642., 8.77, 8.89, 0.1214,-17.31, 8.7580, 0.1320
112457, 29.8612, 14.834, 28.1, 1824., 8.72, 8.23,-0.4896,-17.35, 8.7740,-0.5440
122880, 37.0071, 25.525, 24.3, 1595., 8.21, 7.83,-0.3835,-15.58, 8.0640,-0.2340
122401, 37.0812, 26.125, 23.0, 1495., 8.80, 8.19,-0.6132,-17.37, 8.7792,-0.5892
  1970, 37.4754, 25.256, 28.8, 1678., 8.97, 9.14, 0.1689,-18.12, 9.0786, 0.0614
122400, 37.8421, 25.712, 12.7,  705., 4.58, 7.53, 2.9499, -4.44, 3.6079, 3.9221
122207, 37.8421, 26.198, 33.4, 2280., 8.27, 8.99, 0.7188,-16.25, 8.3336, 0.6564
122212, 37.9142, 27.179, 13.3,  747., 8.07, 7.36,-0.7128,-15.64, 8.0899,-0.7299
122884, 38.2225, 25.154, 32.4, 2202., 8.17, 9.17, 0.9965,-15.57, 8.0609, 1.1091
122138, 38.3162, 28.181, 13.7,  784., 5.84, 8.08, 2.2432,-10.58, 6.0629, 2.0171
122217, 38.3846, 27.020, 22.1, 1431., 6.54, 8.11, 1.5705,-14.49, 7.6281, 0.4819
122218, 38.8133, 28.021, 35.9, 2467., 6.81, 9.14, 2.3287,-12.50, 6.8324, 2.3076
  2082, 39.0675, 25.423, 14.7,  480., 9.16, 9.38, 0.2225,-18.44, 9.2066, 0.1734
121174, 39.5692, 29.906,  9.7,  473., 6.47, 8.18, 1.7108,-11.57, 6.4598, 1.7202
122420, 39.7083, 27.366, 19.5, 1241., 7.93, 8.00, 0.0734,-14.71, 7.7153, 0.2847
  2141, 39.8117, 30.151, 13.4,  766., 9.40, 9.27,-0.1310,-19.01, 9.4368,-0.1668
122790, 39.9658, 30.272, 11.2,  592., 7.23, 8.38, 1.1522,-12.99, 7.0261, 1.3539
122219, 40.2317, 26.668, 19.7, 1261., 7.01, 7.66, 0.6523,-12.31, 6.7572, 0.9028
