agcnum,radeg,decdeg,vhel,sepmin
213385,179.4504,12.0400, 2761,422.9651
210968,179.8908,13.8875, 1448,399.8616
224234,180.2337,10.4986, 2656,399.1001
  7001,180.2933,14.1039, 1509,379.2042
  7003,180.3396,14.4497, 1287,381.4115
  7002,180.3492,13.4003,  930,369.5634
211006,180.3646,14.0344, 1479,374.3021
224978,180.4379, 8.6831, 2192,438.3299
224235,180.8129,10.1078, 2547,376.5669
225882,180.8596,13.4594, 1304,340.3316
222046,180.9000,16.0556,  931,388.5766
  7038,180.9608,14.5508,  891,348.4775
  7048,181.0483,10.8542, 2415,346.6836
224237,181.1963,10.6264, 2572,343.3641
220074,181.3863,14.4900, 1512,323.8536
226025,181.7233,14.6547,  146,308.8245
226027,181.9775,15.3769,   87,314.3196
226030,182.0862,12.5011, 2320,266.6106
220133,182.1317,15.0950,  587,298.3294
225880,182.1896,11.9214, 1230,264.9192
226031,182.3142,15.0203,   92,286.8890
220150,182.3537,13.5744, 1980,255.2413
  7149,182.4771,13.0494, 2535,243.9188
  7150,182.5075,14.3661,  817,260.0996
224602,182.5138,11.7136, 2557,249.0843
220167,182.5958,10.1883,  485,281.9679
220168,182.6008,13.1706, 1699,237.3587
220171,182.6487,11.7606, 1296,240.7025
  7169,182.6563,16.0325, 2169,304.7286
224696,182.6583,13.0219, 2394,233.2333
220172,182.6700,14.6461, 2466,258.2803
220176,182.7375, 9.2192, 2240,311.2168
  7181,182.7913,13.5875,  265,230.4234
226033,182.8938,14.9464,   94,255.4817
224241,183.0050,10.3983, 1637,254.8599
226035,183.0413,15.3217,   87,260.8476
  7201,183.0487,13.2461, 1875,211.9491
  7200,183.0629,12.4881,   -8,209.5736
220195,183.0946, 6.9794, 2081,403.1089
226036,183.1121,15.6678,   98,270.5092
  7209,183.1346,12.1231, 2209,208.1824
224507,183.1779,12.7628, 1740,202.2707
226037,183.1862,14.9378,   87,240.8320
  7215,183.1933,10.8658,  374,230.7578
  7216,183.2017,13.9758, -184,214.0055
222671,183.2496, 7.2989, 2162,381.9319
  7219,183.2617, 7.0383, 2081,395.0135
224807,183.2892,13.5844, 2100,202.1412
  7223,183.3596,14.7717, 2073,226.9874
  7227,183.3883,14.4819, 2440,216.7037
220212,183.4221,15.4536, -131,248.5416
225998,183.4242,12.8978, 2235,188.0882
  7235,183.4471,13.4244, 2114,190.9525
223286,183.4504,12.6906,  841,186.3464
  7231,183.4512,14.8992, -138,226.7882
  7233,183.4596, 7.2008, 2659,380.7111
  7234,183.4733,13.1725, 2470,186.7748
220217,183.5092, 6.7231, 2433,404.6148
  7239,183.5375, 7.7769, 1221,348.5262
224487,183.5504,12.7828,  613,180.4857
226042,183.5529,15.2239,  124,233.8629
224244,183.5567, 8.9083, 1933,291.9997
224245,183.6175, 5.9086, 1921,446.1247
224094,183.6367,12.1031, 2115,179.5294
220231,183.6487, 9.1997, 1787,274.9541
  7249,183.6571,12.8128,  621,174.2806
224705,183.6858,12.7897, 2279,172.5691
224248,183.7229, 9.6697, 1693,250.8199
  7254,183.7296,13.4603,  259,175.4032
220242,183.7658,13.0319, 2085,168.7817
220241,183.7667, 9.7536, 2197,245.3741
  7255,183.7688,14.0283, 2316,184.6764
  7262,183.8179,13.4739,  376,170.6223
  7260,183.8200,13.0236,  704,165.5809
220250,183.8262, 5.7608, 2016,449.5665
224249,183.8642,10.5122, 1990,209.9769
  7268,183.8771, 9.5847,  596,248.5685
220255,183.9125, 8.2842, 2581,310.9577
  7275,183.9138,13.9011,  -88,173.8452
  7279,183.9429,10.6969, 1979,199.4281
227869,183.9588,13.0553,  136,157.7345
220257,183.9737,14.0250,  683,173.8254
  7284,183.9762,13.1497,  139,157.5116
  7285,183.9846,14.4325, 1406,185.4599
