objId,type,ra,dec,u,g,r,i,z
5.87735E+17,GALAXY,186.1923208,13.91877489,18.209906,17.005888,16.469769,16.148132,15.92865
5.87735E+17,GALAXY,187.6159836,14.16017846,16.360163,15.009757,14.501955,14.20867,14.033368
5.87735E+17,GALAXY,187.8124024,14.1966502,16.877062,15.019747,14.218636,13.787261,13.479192
5.87735E+17,GALAXY,186.3285832,14.76325167,17.781902,16.515863,15.95789,15.63629,15.388246
5.87735E+17,GALAXY,186.7464842,14.78234651,18.297247,17.068316,16.747511,16.645374,16.504398
5.87735E+17,GALAXY,185.8493324,15.17188451,16.593985,15.033442,14.275695,13.864987,13.530925
5.87735E+17,GALAXY,186.1949669,15.0736095,19.318546,18.353508,18.015898,17.897312,17.978544
5.87735E+17,GALAXY,186.7351114,15.04734332,14.067368,12.151771,11.27248,10.800981,10.465178
5.87735E+17,GALAXY,187.0853139,15.05906395,17.357592,16.434523,16.08514,15.727972,15.550469
5.87735E+17,GALAXY,187.1802266,14.99950888,14.726372,13.049608,12.302007,11.890135,11.647058
5.87735E+17,STAR,187.9780124,15.12310064,21.80443,20.637259,20.797722,20.540598,21.152121
5.87735E+17,GALAXY,186.7992674,15.89736815,20.399666,20.086563,19.864702,19.262751,20.129421
5.87739E+17,GALAXY,185.8010823,14.38894849,16.427395,15.160147,14.695912,14.346822,14.175862
5.87739E+17,GALAXY,187.2898188,14.52366309,18.842104,17.038919,16.061262,15.564848,15.138824
5.87739E+17,GALAXY,187.3136918,14.49684765,19.537657,18.567608,18.251286,18.099573,18.125336
5.87739E+17,GALAXY,185.8383397,14.8576305,17.978094,16.695175,16.22234,15.970187,15.804961
5.87739E+17,GALAXY,185.8460772,14.8050219,18.687607,17.437752,17.089989,16.867542,16.766264
5.87739E+17,GALAXY,186.4480913,14.95200889,16.57593,15.480377,14.979901,14.733631,14.637545
5.87739E+17,GALAXY,186.5115592,14.88035681,16.218355,14.844655,14.144505,13.765371,13.472852
5.87739E+17,GALAXY,187.9072592,14.85978462,15.595979,14.798037,14.547649,14.368544,14.156884
5.87739E+17,STAR,186.4955952,15.67097116,24.644962,25.102482,22.884132,22.179594,21.324823
