objid,ra,dec
587722981741363294,182.92525893,-1.09235698
587722981741363323,182.97011203,-1.21953724
587722981744705719,190.65012066,-1.23177105
587722981744836751,190.82349535,-1.10839012
587722981745557634,192.4677123,-1.0697528
587722982278758552,184.17763079,-0.79651401
587722982280003676,187.04759079,-0.63602538
587722982282559702,192.86572561,-0.68802903
587722982282756235,193.26108405,-0.81158932
587722982284460121,197.20879913,-0.81731721
587722982284525759,197.37636458,-0.64458093
587722982284656785,197.58666884,-0.79356431
587722982813073506,178.29135629,-0.39899849
587722982815301820,183.4600113,-0.23988473
587722982817333398,188.08916117,-0.28335317
587722982817661031,188.72882493,-0.30662475
587722982818119916,189.88553132,-0.39373732
587722982819037339,191.90061957,-0.33273994
587722982819168439,192.24968301,-0.32234234
587722982819299424,192.57972278,-0.40160739
587722982819561677,193.09772508,-0.36985512
587722983346667563,170.82671261,0.09137328
587722983349813379,178.02230766,0.07408833
587722983352041676,183.15344271,0.1938194
587722983355318446,190.58961551,0.17710423
587722983355514897,190.97459202,0.16677447
587722983355515068,191.02527372,0.03499125
587722983355777200,191.61957692,0.00144955
587722983355777219,191.64371995,0.12887326
587722983355842722,191.704085,0.06042875
587722983355842732,191.71071386,0.02619802
587722983355908291,191.96844543,0.01249513
587722983355973770,192.07450284,0.06519864
587722983356301467,192.87414326,0.00302541
587722983890092244,185.83707214,0.58436725
587722983890944072,187.78487704,0.61370741
587722983892189332,190.52560421,0.55190684
587722983892254850,190.66395538,0.569643
587722983892254910,190.73388861,0.54852615
587722983892320470,190.92601604,0.5618296
587722983892451489,191.13537711,0.61349983
587722983892517027,191.35572532,0.4360855
587722983892975721,192.3163455,0.61797118
587722983894417497,195.60245514,0.47676025
587722984426831991,185.53254963,1.03916905
587722984427094082,186.02553605,0.86323293
587722984428470466,189.25654192,0.91714595
587722984429322385,191.2177682,0.89428188
587722984432009290,197.38286974,0.85702807
587722984432140355,197.68046015,0.93638966
587725073921343655,146.09368482,-0.79309523
587725074995609771,147.30828919,0.15117234
587725075532415179,147.18008967,0.42963573
587725076069548212,147.78992576,0.91618162
587728947973128399,148.44059132,-0.8035153
587728947975618607,154.07147279,-0.77713009
587728947976011921,154.96902406,-0.63537478
587728947976077347,155.14419234,-0.63830707
587728947977781395,159.00779054,-0.63014168
587728947978961029,161.81969491,-0.79388046
587728948510261430,149.00697574,-0.24103547
587728948510654710,149.95965661,-0.22750868
587728948511768763,152.54694979,-0.25293856
587728948512292924,153.69122166,-0.3393489
587728948512424045,153.92581068,-0.34889409
587728948515831917,161.75664943,-0.29855357
587728949047460027,149.77969363,0.01064751
587728949047918736,150.78482493,0.17522119
587728949048377473,151.85425741,0.18633105
587728949049098438,153.59726589,0.00894194
587728949049884809,155.37210285,0.15516359
587728949315174572,148.18590279,0.17325614
587728949583741054,148.39515084,0.59625998
587728949584461871,150.08478516,0.50596851
587728949585314083,152.0365889,0.50502308
587728949586100425,153.87497878,0.51041919
587728949586821184,155.52213539,0.42382548
587728950120874177,149.09098474,0.84451316
587728950122971269,153.78175235,0.97837315
587728950123823198,155.70466355,0.96568808
587728950124281981,156.78394012,0.96564171
587728950126575742,162.06999476,1.01026866
587728950388916339,148.13787907,0.98411085
587748927628378296,176.20162682,-1.15848834
587748928161120349,166.80392498,-0.6791899
587748928161185966,166.89398362,-0.83256503
587748928162562245,170.0885155,-0.82950827
587748928166035642,177.97291941,-0.76478389
587748928168132837,182.78701393,-0.71832661
587748928698777902,168.61937669,-0.27698579
587748928699367632,169.82027252,-0.38736443
587748928699564212,170.36349107,-0.29885861
587748928702578828,177.16843519,-0.2861973
587748928703889531,180.17673814,-0.23112607
587748929236566219,170.70683095,0.12455617
587748929237352678,172.45943311,0.20006221
587748929238335592,174.63462667,0.1940705
587748929238532272,175.09727687,0.10124823
587748929239711890,177.84432523,0.11734255
587748929240105082,178.70242529,0.10315235
587748929769898106,162.49231618,0.54513254
587748929770750045,164.44055516,0.45950095
587748929773437121,170.65320711,0.4605662
587748929773502608,170.72736643,0.45547964
587748930306768957,162.59979555,0.95011026
587748930306834619,162.71812969,1.04151598
587748930309062782,167.73674981,1.01266862
587748930310308021,170.69868602,1.03605152
587748930310373470,170.74033109,1.04583313
587748930310373558,170.84342546,0.92677455
587748930310504603,171.02929705,1.00743529
587748930311225493,172.6793889,0.83953011
587748930311291091,172.94729944,0.93102327
587748930312274068,175.10409769,1.02230231
587748930314764319,180.82504651,0.9198948
587748930314764372,180.77188244,1.00357514
588848898824667289,147.42824722,-0.84005979
588848898825191600,148.58500955,-0.94207742
588848898827354233,153.60337595,-0.8740314
588848898829189143,157.69697286,-0.92401923
588848898830041313,159.72456822,-0.94163275
588848898830827690,161.48717199,-0.87925864
588848898831810667,163.67949404,-0.87506636
588848898835677417,172.57453211,-0.9792535
588848898835873986,173.06035197,-0.98737196
588848898836726002,174.94844197,-0.84393942
588848898837184622,175.94300591,-1.03907884
588848898837446812,176.53824819,-1.03523095
588848898840461487,183.52806396,-0.93884013
588848898841313299,185.38202524,-0.85271616
588848898842165433,187.44168615,-1.01896324
588848898843345099,190.12991646,-1.01185183
