objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroR50_r,petroR90_r,specobjid,specClass,redshift,plate,mjd,fiberid
587722981734285458,166.84478189,-1.07779726,19.181248,17.88806,17.267694,16.913746,16.726723,752,40,1,155,2.801226,5.507508,78472953171279872,2,0.126874,278,51900,201
587722981737431161,174.03571168,-1.06911045,19.415106,17.911903,17.153994,16.731127,16.453934,752,40,1,203,3.34466,7.045671,79597813272412160,2,0.074289,282,51658,100
587722981741363294,182.92525893,-1.09235698,19.044388,17.149191,16.254593,15.822527,15.471344,752,40,1,263,2.695631,7.912694,81006756255236096,2,0.077909,287,52023,204
587722981741363323,182.97011203,-1.21953724,18.395714,16.533554,15.649889,15.214793,14.860472,752,40,1,263,3.346346,8.527256,81006756263624704,2,0.063221,287,52023,206
587722981741428748,183.01998494,-1.20358605,19.296186,18.224833,17.479431,17.085098,16.847851,752,40,1,264,3.410035,7.480487,81006756242653184,2,0.129058,287,52023,201
587722981741428877,183.02862215,-1.07270517,18.763014,17.569967,16.894451,16.439955,16.231716,752,40,1,264,2.589022,6.059341,81006756259430400,2,0.114482,287,52023,205
587722981741625481,183.47399188,-1.23142922,17.653879,16.474611,15.85252,15.490729,15.274401,752,40,1,267,4.134207,10.66237,81006755986800640,2,0.081958,287,52023,140
587722981741625520,183.52620014,-1.16401133,19.089098,17.192511,16.302023,15.879097,15.578588,752,40,1,267,2.104846,5.770724,81006755919691776,2,0.070564,287,52023,124
587722981741625545,183.5668128,-1.13589456,19.347553,17.407707,16.396957,15.924966,15.558602,752,40,1,267,2.580609,6.535895,81006755936468992,2,0.099704,287,52023,128
587722981741625571,183.61265554,-1.12410285,19.259459,18.130003,17.303837,16.857183,16.584999,752,40,1,267,2.792924,6.088089,81006755747725312,2,0.178171,287,52023,83
587722981741756545,183.82603445,-1.1098486,18.27211,16.353931,15.499203,15.078783,14.747936,752,40,1,269,3.681226,11.222818,81006755743531008,2,0.075947,287,52023,82
587722981741756579,183.90190288,-1.17398194,19.34256,17.354006,16.401886,15.947316,15.606216,752,40,1,269,2.36101,6.361002,81006755571564544,2,0.075612,287,52023,41
587722981741822057,183.96938889,-1.20399515,18.667461,17.321793,16.658127,16.270273,16.020996,752,40,1,270,4.009901,8.889085,81006755592536064,2,0.079637,287,52023,46
587722981741887597,184.15296827,-1.08234243,18.491701,17.387661,17.058897,16.869154,16.723375,752,40,1,271,3.797237,8.537767,81006755454124032,2,0.021417,287,52023,13
587722981741887707,184.07739305,-1.06923279,18.840744,17.703798,17.305779,17.107279,17.048492,752,40,1,271,4.913102,11.888646,81006755609313280,2,0.031546,287,52023,50
587722981742018624,184.37075271,-1.06639085,19.248844,18.136908,17.494314,17.111902,16.891426,752,40,1,273,2.024917,4.308052,81288132607082496,2,0.157144,288,52000,242
587722981742018628,184.38335668,-1.08295844,19.405148,17.902868,17.049517,16.61434,16.331259,752,40,1,273,2.495215,6.021772,81288132640636928,2,0.158703,288,52000,250
587722981742018657,184.44056794,-1.19924935,17.753197,16.734282,16.371208,16.08005,15.950588,752,40,1,273,2.511621,6.510353,81288132632248320,2,0.070113,288,52000,248
587722981742018760,184.38804125,-1.19309183,19.337608,18.132719,17.770828,17.526148,17.46771,752,40,1,273,3.608843,7.170321,81288132657414144,2,0.078015,288,52000,254
587722981742084144,184.53564653,-1.06411418,15.926396,14.467468,13.781872,13.431851,13.2083,752,40,1,274,9.084965,22.796059,81288132669997056,2,0.019,288,52000,257
587722981742149718,184.70616986,-1.23694027,17.755869,16.424364,15.854398,15.475801,15.278817,752,40,1,275,5.790624,11.714599,81288132456087552,2,0.069954,288,52000,206
587722981742149730,184.75126255,-1.11489385,19.46384,17.956148,17.18741,16.759054,16.451183,752,40,1,275,2.498913,6.740617,81288132120543232,2,0.120341,288,52000,126
587722981742215305,184.94424961,-1.19994085,18.281212,17.0205,16.340689,15.930616,15.669191,752,40,1,276,2.254702,6.496093,81288132435116032,2,0.084896,288,52000,201
587722981742280762,185.0988339,-1.13547779,19.186586,17.990414,17.235861,16.801548,16.532183,752,40,1,277,3.033273,7.31835,81288131994714112,2,0.118614,288,52000,96
587722981742280799,185.0121558,-1.11144459,19.500534,18.742252,18.265345,17.916826,17.848188,752,40,1,277,1.345975,3.216606,81288131931799552,2,0.157216,288,52000,81
587722981742346376,185.21061305,-1.1032998,19.320518,17.520323,16.43371,16.004557,15.677164,752,40,1,278,3.872243,8.939961,81288131764027392,2,0.132728,288,52000,41
587722981742411864,185.30108237,-1.11506839,18.894445,18.03734,17.467409,17.129768,16.924509,752,40,1,279,2.08821,4.167997,81288131768221696,2,0.108666,288,52000,42
587722981742477511,185.53092591,-1.0750433,19.009777,18.399271,17.639269,17.230377,16.95772,752,40,1,280,2.61828,4.923544,81288131629809664,2,0.1593,288,52000,9
587722981742542937,185.62162371,-1.14413917,19.364861,18.169214,17.536436,17.161715,16.923731,752,40,1,281,2.474555,5.499514,81288131621421056,2,0.080731,288,52000,7
587722981742542953,185.64259313,-1.16981186,18.770842,17.839733,17.426901,17.099882,16.918526,752,40,1,281,2.702425,7.152759,81288131604643840,2,0.061841,288,52000,3
587722981742542969,185.68663848,-1.13703684,18.948256,17.272322,16.411228,16.013313,15.704185,752,40,1,281,2.283054,6.707578,81288131608838144,2,0.066391,288,52000,4
587722981742542976,185.70787129,-1.11003027,19.110277,18.28039,17.786549,17.518713,17.349291,752,40,1,281,1.906939,4.235456,81288131642392576,2,0.146101,288,52000,12
