objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroR50_r,petroR90_r,specobjid,specClass,redshift,plate,mjd,fiberid,distance,absolute_mag_r,u_r
587728948512620721,154.43332054,-0.30630697,18.785788,17.687403,17.222265,16.904732,16.734482,2141,40,3,79,3.169541,7.214097,76502555227586560,2,0.064878,271,51883,179,262.8369606773513,-19.87616718285478,1.563523
587722983352762610,184.76515377,0.08097838,19.113068,18.061754,17.713053,17.472382,17.470758,752,40,4,275,3.631445,6.870253,81288133567578112,2,0.068118,288,52000,471,275.9630088384324,-19.491201357173704,1.4000149999999998
587724650869293191,183.72910861,-1.36589503,19.443668,17.946211,17.163921,16.69401,16.374643,1140,40,6,206,2.560132,6.246695,93674609416601600,2,0.074915,332,52367,619,303.49935123067564,-20.246867835256733,2.2797470000000004
588848899371434098,169.97608114,-0.55575747,19.000431,17.069723,16.126999,15.698524,15.358054,756,44,2,362,2.335398,6.393419,78754788396761088,2,0.073194,279,51984,75,296.5271509574594,-21.233323324439898,2.8734319999999975
588848899369730278,166.1305689,-0.46860764,17.381811,16.219324,15.694599,15.378954,15.146102,756,44,2,336,4.599839,10.705782,78191512042602496,2,0.04369,277,51908,79,176.99908770297296,-20.545256139532594,1.6872119999999988
587722983364296855,211.03081541,0.14401656,17.938082,15.990051,15.126359,14.720288,14.404709,752,40,4,451,3.588359,9.813998,84947059785859072,2,0.047725,301,51942,621,193.3458791628378,-21.305315601313275,2.8117230000000006
587724649254617285,174.53427133,-2.48236789,18.778826,17.574356,17.018112,16.631207,16.418991,1140,40,3,144,2.701646,6.341164,92266920748777472,2,0.073778,327,52294,559,298.89308062599997,-20.359467306197917,1.7607140000000001
587725040089694285,174.99904441,-2.69911239,17.879269,16.634909,16.104078,15.816322,15.56774,1231,40,3,38,5.645897,10.873626,92548342814343168,2,0.043011,328,52282,232,174.24828933835133,-20.10176461578535,1.7751909999999995
587725039564030047,200.56117553,-3.08818501,17.013329,15.126464,14.256272,13.845494,13.534652,1231,40,2,209,4.598125,13.407208,96204974630895616,2,0.034876,341,51690,170,141.29137520551348,-21.49430626094222,2.7570569999999996
587728947975749772,154.40633295,-0.77982154,18.34734,17.015879,16.443138,16.14418,15.906834,2141,40,2,79,4.963531,10.54148,76502554883653632,2,0.044435,271,51883,97,180.01726853013514,-19.8334328385062,1.904201999999998
587748930311880803,174.1756524,0.87320808,19.272934,18.064795,17.541428,17.175577,17.002415,6793,40,6,91,1.828024,4.477408,79597815054991360,2,0.104595,282,51658,525,423.74043438527025,-20.59407153728775,1.7315059999999995
587724648185397285,184.7934109,-3.46636802,18.93347,17.882771,17.24638,16.910789,16.629417,1140,40,1,213,1.64153,4.035077,93955850418257920,2,0.115934,333,52313,131,469.6775516996216,-21.112619017586884,1.6870900000000013
588848899909222709,172.12635574,-0.12166013,18.931215,18.096739,17.403259,17.345425,17.330284,756,44,3,376,6.103185,11.741503,79316149522661376,2,0.039924,281,51614,149,161.74208234043243,-18.640856150566997,1.5279560000000032
588848898828468408,156.18002246,-0.88030813,16.996241,15.483431,14.790222,14.420862,14.15969,756,44,1,269,7.1697,13.010771,76784278909747200,2,0.036036,272,51941,83,145.9908245471351,-21.03140580721778,2.2060190000000013
588848900454219940,190.7243559,0.26439125,18.917402,17.902987,17.49131,17.187588,17.013548,756,44,4,500,2.458688,5.268657,82132248899354624,2,0.088773,291,51928,385,359.6415658653243,-20.288039399492945,1.4260920000000006
588848900434559074,145.80018302,0.41416635,17.132265,15.379313,14.493606,14.008693,13.618987,756,44,4,200,7.36639,18.618753,75094094770077696,2,0.025208,266,51630,430,102.12389569275676,-20.55203086681447,2.6386590000000005
587722984432992478,199.60610765,0.90328258,19.400171,17.821695,17.075602,16.6511,16.332516,752,40,6,374,4.026043,8.615503,83539864422711296,2,0.054406,296,51984,414,220.4122766209189,-19.640576901902275,2.3245690000000003
588848899917414609,190.84380767,-0.00078054,18.964689,17.358103,16.597164,16.257734,15.978302,756,44,3,501,2.997515,9.387502,82132248119214080,2,0.049776,291,51928,199,201.65499174875674,-19.925880884807903,2.3675250000000005
587724649257894099,182.02570182,-2.53222811,18.01384,16.73526,16.285789,16.070612,15.945744,1140,40,3,194,8.995605,18.064812,93674607789211648,2,0.025821,332,52367,231,104.60731159483782,-18.812021204411373,1.7280509999999971
588848898846163110,196.52034876,-1.02435589,19.46298,18.123535,17.365026,16.929749,16.651524,756,44,1,539,2.344788,5.154174,82976921842876416,2,0.09072,294,51986,124,367.5293485102702,-20.46143412372892,2.0979540000000014
587722982836863440,232.68814858,-0.36985682,17.611322,16.014877,15.194158,14.736671,14.399316,752,40,3,595,4.837264,12.287961,102398708607352832,2,0.037998,363,51989,240,153.93937593356756,-20.74259060803957,2.4171640000000014
587724650866147471,176.53806123,-1.34651892,18.753546,17.528786,16.856825,16.474649,16.2013,1140,40,6,158,2.513472,5.071542,92828847887613952,2,0.092385,329,52056,413,374.27467881527025,-21.00912723171443,1.8967209999999994
588848900973133997,149.64743407,0.74277936,17.631784,16.276779,15.634233,15.17066,14.924179,756,44,5,226,2.831385,7.229756,75657057855864832,2,0.064837,268,51633,489,262.6708594506216,-21.462826475430724,1.9975509999999996
587725040092840092,182.18229105,-2.74948821,19.447224,18.132755,17.398661,17.050385,16.763342,1231,40,3,86,1.700058,4.839931,93674607822766080,2,0.096606,332,52367,239,391.37500266956755,-20.56430441793646,2.048562999999998
588848898835546308,172.34308856,-1.03573516,18.768072,16.835373,15.926228,15.506206,15.19509,756,44,1,377,1.911494,6.047264,79316149312946176,2,0.07729,281,51614,99,313.12106863270265,-21.552333452474294,2.841844
587724648187035796,188.63459154,-3.42828301,18.575216,16.77087,15.870514,15.44409,15.144809,1140,40,1,238,2.565048,7.781384,94517456722198528,2,0.060036,335,52000,292,243.2208109255135,-21.059489660639926,2.704702000000001
587722983891992788,190.0838763,0.53805104,18.900335,17.703804,17.194197,16.906742,16.757708,752,40,5,311,4.467681,10.20103,82132248727388160,2,0.046004,291,51928,344,186.37367888962163,-19.157725889871163,1.7061379999999993
587722983896121565,199.54354265,0.57818126,19.450512,17.782219,16.925167,16.445852,16.088551,752,40,5,374,2.520627,6.21141,83539864129110016,2,0.075475,296,51984,344,305.7680509128378,-20.501793524460435,2.5253450000000015
587728947976142992,155.26273357,-0.7787001,17.547541,16.35124,15.952352,15.680576,15.572186,2141,40,2,85,4.088507,8.833728,76502554518749184,2,0.053119,271,51883,10,215.19831860137836,-20.71184236877761,1.5951889999999995
587724649802236034,199.02872312,-2.15295265,18.471464,17.144894,16.487047,16.064991,15.811403,1140,40,4,308,2.338993,5.654205,95924789721432064,2,0.082636,340,51990,546,334.77904809848644,-21.136744350848293,1.9844170000000005
587748929776255175,177.13452537,0.51141417,18.996611,17.979935,17.550892,17.202217,17.090755,6793,40,5,110,2.02855,4.471384,79880583076904960,2,0.104823,283,51959,587,424.6641192558649,-20.589335840537604,1.4457190000000004
588848899376611498,181.8502249,-0.43496904,18.448246,17.376093,16.898479,16.551785,16.392294,756,44,2,441,2.661268,5.646682,80725177956040704,2,0.083036,286,51999,146,336.39954787145945,-20.735798017123695,1.5497670000000028
588848900972740749,148.76192972,0.75750183,18.094631,17.030094,16.649963,16.382113,16.236572,756,44,5,220,4.844347,9.957147,75375476016676864,2,0.047156,267,51608,611,191.0407182357838,-19.755666711119154,1.444668
588848901524357269,182.39664405,1.13114534,18.929842,16.987394,15.995602,15.516764,15.132752,756,44,6,445,1.953638,6.106807,81006756745969664,2,0.076492,287,52023,321,309.88817158562165,-21.460422997796407,2.934240000000001
587724648182710297,178.64086731,-3.40493043,19.540724,17.753824,16.813625,16.412374,16.081636,1140,40,1,172,1.674955,5.331052,93111670133489664,2,0.087949,330,52370,91,356.303336333,-20.945474444960634,2.7270990000000026
587724649259335843,185.30773165,-2.50960101,18.988796,17.938116,17.518557,17.239775,17.131245,1140,40,3,216,3.583881,6.927035,93955852209225728,2,0.067723,333,52313,558,274.36276531262166,-19.673068857394554,1.4702389999999994
587722981744771128,190.73857899,-1.22942345,15.548224,14.13763,13.456943,13.112349,12.859152,752,40,1,315,18.787832,43.89772,82132247821418496,2,0.010819,291,51928,128,43.83046760948648,-19.751937519952016,2.0912809999999986
588848900435017959,146.887741,0.21745491,19.549408,17.743269,16.890284,16.407822,16.031092,756,44,4,207,2.979602,7.415585,75094095462137856,2,0.06296,266,51630,595,255.06666426594592,-20.142984512739794,2.6591239999999985
587722982284460121,197.20879913,-0.81731721,15.938763,14.037704,13.123351,12.669155,12.329739,752,40,2,358,8.494985,26.275322,82976921553469440,2,0.017972,294,51986,55,72.80905479967566,-21.187575965589694,2.8154120000000002
587722982278693152,184.04450667,-0.80908888,19.473118,18.200878,17.636791,17.352049,17.137775,752,40,2,270,3.435197,6.569947,81288132816797696,2,0.071079,288,52000,292,287.9587584078648,-19.659860461739928,1.8363270000000007
588848899905028339,162.58073578,-0.0243575,19.300989,17.955971,17.416819,17.077971,16.867676,756,44,3,312,2.998776,6.945547,77910042203914240,2,0.067556,276,51909,280,273.6862066574054,-19.769445551107506,1.884170000000001
587725039026241778,198.48309819,-3.52728113,18.39658,17.227787,16.67675,16.34363,16.115147,1231,40,1,195,4.063228,7.128601,95924787779469312,2,0.06549,340,51990,83,265.31632533,-20.44206986812877,1.7198300000000017
588848901525995716,186.20628545,1.07848508,19.020554,17.263004,16.394144,15.98454,15.685281,756,44,6,470,2.67682,6.034308,81569565317791744,2,0.07739,289,51990,405,313.5261935759459,-21.087225149283245,2.62641
587722982835093680,228.64030225,-0.39136235,18.255035,16.629549,15.786997,15.336892,15.00028,752,40,3,568,3.543406,8.681149,87760617355608064,2,0.053733,311,51665,27,217.6857857528919,-20.902153359017504,2.468038
587724650327769306,173.20289217,-1.6417829,19.142378,17.753216,17.130493,16.812614,16.564117,1140,40,5,135,3.756217,9.608541,92266920165769216,2,0.048527,327,52294,420,196.59498120764866,-19.337369133562852,2.0118849999999995
588848901523112128,179.64560197,1.08818744,18.782394,17.668732,17.161106,16.816231,16.58882,756,44,6,426,3.254506,7.296979,80443407712911360,2,0.064332,285,51930,405,260.62497848724325,-19.918974182349412,1.6212879999999998
588848898832203922,164.57751324,-1.02894709,19.258495,18.136469,17.576881,17.197506,16.946173,756,44,1,326,2.362118,4.843311,78191512889851904,2,0.096832,277,51908,281,392.2905850412973,-20.391158426020127,1.6816139999999997
588848900973330470,150.10152271,0.70459265,16.540745,14.838713,14.043727,13.619621,13.306054,756,44,5,229,5.332967,13.912156,75657058073968640,2,0.033446,268,51633,541,135.4980885171351,-21.61593884312534,2.4970180000000006
587725074995085328,146.06574907,0.18367498,19.007915,18.406763,17.718336,17.187954,17.008915,1239,40,4,172,1.222996,3.700083,75094095038513152,3,0.126705,266,51630,494,513.3135593363514,-20.83357768217639,1.2895789999999998
587725039553544283,176.57076467,-3.17903812,17.326916,15.939783,15.422134,15.139572,14.93565,1231,40,2,49,11.291974,26.361498,92828847208136704,2,0.017539,329,52056,251,71.05486379543242,-18.835835056442022,1.9047820000000009
587725039560884369,193.31489412,-3.17506974,17.961628,16.865637,16.42411,16.075285,15.936193,1231,40,2,161,2.157719,5.525124,95360567388143616,2,0.084493,338,51694,291,342.30221829451347,-21.24793856799357,1.5375180000000022
587728947979157650,162.20398007,-0.67297591,19.038116,18.031078,17.62602,17.35253,17.162544,2141,40,2,131,2.526248,6.092257,77628570536509440,2,0.076602,275,51910,45,310.3338090231892,-19.83312545981519,1.4120959999999982
587722984426635361,185.02575191,0.96120554,18.773254,17.550364,16.976824,16.616667,16.417542,752,40,6,277,2.627354,5.196242,81288133513052160,2,0.090338,288,52000,458,365.9817712270811,-20.84047327324742,1.7964300000000009
588848899371696190,170.62369617,-0.52944802,19.040468,18.146832,17.449017,17.033777,16.805004,756,44,2,366,1.210328,3.177035,79034665733718016,2,0.147058,280,51612,96,595.7686390346487,-21.426371192174035,1.5914509999999993
587724649265889526,200.31130462,-2.50069517,19.132914,17.943171,17.35214,16.998632,16.767843,1140,40,3,316,2.25904,4.880345,96204974744141824,2,0.096175,341,51690,197,389.62891416418915,-20.601115890879022,1.780774000000001
588848899902537891,156.78764136,-0.03771475,18.167646,16.63905,15.903219,15.512357,15.207526,756,44,3,274,3.048758,8.401074,76784278888775680,2,0.055994,272,51941,78,226.84566071962163,-20.87543338079289,2.2644270000000013
587724650872111260,190.26514908,-1.28604215,18.878559,17.484644,16.449207,15.997174,15.626724,1140,40,6,249,3.219292,7.181487,94798927546548224,2,0.064893,336,51999,326,262.89772941883786,-20.649727176155096,2.429351999999998
587728947976470695,156.08771075,-0.77713749,17.949028,16.490629,15.816593,15.452132,15.15273,2141,40,2,90,5.541279,11.103621,76784279140433920,2,0.041864,272,51941,138,169.60150623935132,-20.330555524642804,2.132434999999999
588848901525930152,186.04936179,1.21302513,16.829313,15.533341,14.997027,14.70818,14.562581,756,44,6,469,8.886155,17.799635,81569565154213888,2,0.026587,289,51990,366,107.71056866008107,-20.164264593814135,1.8322859999999999
587725040097493283,192.81891885,-2.71735156,18.16173,17.140188,16.790445,16.534382,16.384594,1231,40,3,157,3.355725,6.677283,95080393325150208,2,0.070392,337,51997,181,285.17555004778376,-20.485116439445548,1.3712850000000003
587724648718008493,175.11509718,-2.90542937,19.496754,18.356956,17.718811,17.3269,17.110474,1140,40,2,148,1.444119,3.286858,92548342801760256,2,0.142098,328,52282,229,575.6744418497838,-21.082073742811534,1.7779430000000005
587722983909228808,229.42078576,0.54639644,18.647024,16.824631,15.971483,15.572795,15.281116,752,40,5,574,2.717911,8.169407,88042197437382656,2,0.057595,312,51689,510,233.3317110609459,-20.86838582905022,2.675540999999999
587728949048574108,152.34280183,0.01338445,18.604042,17.77088,17.593817,17.297062,17.316854,2141,40,4,65,2.224994,5.104001,76221192985378816,2,0.092009,270,51909,433,372.7514090286756,-20.263279468971533,1.0102249999999984
587725039020212392,184.72479704,-3.73271428,19.506262,18.215187,17.544577,17.149668,16.906408,1231,40,1,103,2.569481,5.040369,93955850380509184,2,0.09255,333,52313,122,374.9431349716216,-20.325250031429366,1.9616849999999992
587725040094281910,185.39736851,-2.91181637,19.440372,17.52902,16.621912,16.18198,15.853396,1231,40,3,108,2.357313,6.509997,93955850195959808,2,0.072216,333,52313,78,292.56502901254055,-20.709200063243184,2.8184600000000017
588848900440653976,159.69789312,0.3474473,19.358168,17.944094,17.212849,16.791327,16.493765,756,44,4,293,2.740147,5.734917,77347109858181120,2,0.081293,274,51913,382,329.3382201107297,-20.37536167026156,2.1453190000000006
587725039022964787,190.99185783,-3.5906308,17.715309,16.927101,16.66017,16.32234,16.30302,1231,40,1,145,2.371577,5.656478,94798927060008960,2,0.083089,336,51999,210,336.61426409137835,-20.9754925766916,1.0551390000000005
588848899903783024,159.63160541,-0.06491598,18.727785,17.552958,17.031012,16.68569,16.523422,756,44,3,293,3.946909,7.350374,77347109258395648,2,0.064023,274,51913,239,259.3731424126216,-20.038613018611695,1.6967730000000003
587722982298616131,229.44368389,-0.77612454,17.610973,16.221079,15.527697,15.146018,14.929721,752,40,2,574,6.8939,12.781577,88042195960987648,2,0.036966,312,51689,158,149.75848651929726,-20.34926021187003,2.0832760000000015
588848898829582411,158.65950483,-0.85267301,17.516764,16.451984,16.014767,15.657993,15.494403,756,44,1,286,2.805811,6.371991,77065822274584576,2,0.073802,273,51957,4,298.9903106123784,-21.363518571793357,1.5019969999999994
587724648723775664,188.29077745,-3.01429442,18.492878,17.327709,16.749922,16.370951,16.185452,1140,40,2,236,2.348783,4.735967,94235950552449024,2,0.099177,334,51993,23,401.79076496035134,-21.270077751995796,1.7429559999999995
587724649266020472,200.60887479,-2.41827481,15.710331,14.364566,13.68595,13.355094,13.095633,1140,40,3,318,7.57143,19.880993,96204974551203840,2,0.023192,341,51690,151,93.95657683697297,-21.178685927719464,2.024381
587722984435613851,205.53748937,0.87067928,19.183083,17.893528,17.358006,17.047745,16.898867,752,40,6,414,2.889211,5.352629,84382945145520128,2,0.087795,299,51671,442,355.67944392040533,-20.397287831834067,1.8250770000000003
587728948512620700,154.40249994,-0.23107175,19.391459,18.107584,17.386471,16.980995,16.761246,2141,40,3,79,2.004545,4.087835,76502555273723904,2,0.114141,271,51883,190,462.41366146727034,-20.938682281606113,2.004988000000001
587748929778745508,182.81374955,0.42891131,19.564064,18.275438,17.687874,17.333261,17.120893,6793,40,5,148,1.988567,4.787696,81006757198954496,2,0.097395,287,52023,429,394.5714384717567,-20.292754225626943,1.8761899999999976
587748928699301981,169.67904646,-0.36167554,17.154726,15.714698,15.043617,14.705893,14.437714,6793,40,3,61,6.255864,11.418801,78754788539367424,2,0.040622,279,51984,109,164.56985444427025,-21.038134425112702,2.111109000000001
588848899365339296,156.12827532,-0.62882519,19.021725,17.85812,17.302641,16.906487,16.71986,756,44,2,269,2.187391,5.535748,76784279312400384,2,0.084176,272,51941,179,341.0179722244324,-20.36124533825017,1.7190839999999987
587722981749293136,201.10703545,-1.08804337,19.01853,17.770905,17.169571,16.822012,16.613625,752,40,1,384,2.675302,5.721378,83821231328985088,2,0.082196,297,51959,248,332.9964983482162,-20.442627333356786,1.8489589999999971
587724648718663860,176.56279124,-3.07114877,19.358742,18.075243,17.358929,16.976694,16.695181,1140,40,2,158,2.242553,4.861621,92828847086501888,2,0.095881,329,52056,222,388.437846831054,-20.58767869048876,1.9998129999999996
587748928159613128,163.33758215,-0.68663623,17.389172,16.190912,15.720444,15.450481,15.234394,6793,40,2,18,5.64074,11.267248,77910041717374976,2,0.041145,276,51909,164,166.68865789743242,-20.38908624928581,1.668727999999998
587722982825591045,206.90602588,-0.27740619,19.304049,18.253891,17.742733,17.447123,17.315662,752,40,3,423,2.215526,4.584863,84665587317342208,2,0.101683,300,51943,195,411.943196038027,-20.331453670602087,1.561315999999998
588848901525733512,185.6189988,1.05707204,19.038597,17.164501,16.24506,15.821772,15.510213,756,44,6,466,2.182741,6.265431,81288134163169280,2,0.0743,288,52000,613,301.0078328297297,-21.147828984787633,2.7935370000000006
587748928698777831,168.54951313,-0.30470167,19.522264,17.510078,16.560223,16.128798,15.762572,6793,40,3,53,1.690336,4.853578,78754789239816192,2,0.096027,279,51984,276,389.0293292481892,-21.38968872193044,2.9620409999999993
588848900981588057,168.99124526,0.81027168,17.699343,16.631071,16.061741,15.691343,15.474369,756,44,5,355,3.369655,6.815398,78754789982208000,2,0.069084,279,51984,453,279.8765157901622,-21.173091293498555,1.6376019999999976
587722984429060231,190.57511094,0.8672893,18.58297,17.460255,17.052809,16.745106,16.608311,752,40,6,314,2.843375,5.768383,82132249008406528,2,0.08155,291,51928,411,330.3793912148648,-20.542255742866235,1.5301609999999997
588848898840789137,184.23605256,-0.85195635,18.911562,17.647522,17.048271,16.709261,16.512199,756,44,1,457,3.688429,6.662387,81006755483484160,2,0.070665,287,52023,20,286.28154114283785,-20.23569573245433,1.8632910000000003
587724648179761314,171.86570289,-3.3227591,19.307917,18.216703,17.662279,17.323069,17.133366,1140,40,1,127,2.371564,4.401461,91985791898615808,2,0.105925,326,52375,138,429.1285961304054,-20.500658279349896,1.6456379999999982
588848900451270730,183.9687494,0.40069608,16.270645,14.513068,13.756274,13.373938,13.079084,756,44,4,455,9.115762,22.667612,81288133206867968,2,0.021064,288,52000,385,85.33551804475675,-20.899375146474817,2.514370999999999
588848900986175683,179.458947,0.82375795,18.368132,17.23197,16.800982,16.517817,16.337536,756,44,5,425,3.618964,7.133703,80443407587082240,2,0.065192,285,51930,375,264.10905299913514,-20.30793443996465,1.567149999999998
587725039026241683,198.46234922,-3.60625423,16.761192,14.956054,14.109209,13.668952,13.327854,1231,40,1,195,6.452351,17.719929,95924787842383872,2,0.026834,340,51990,98,108.71122726989189,-21.072162993180697,2.6519830000000013
588848898831548629,163.17764517,-0.92639754,19.364124,17.729942,16.900623,16.457346,16.161293,756,44,1,316,2.090379,5.547162,77910041935478784,2,0.084797,276,51909,216,343.53379812197295,-20.77922435495155,2.463501000000001
588848900437246132,151.98502365,0.27216569,17.0147,15.220484,14.407574,14.025211,13.733889,756,44,4,241,4.069805,13.820209,75939723100553216,2,0.033446,269,51910,623,135.4980885171351,-21.25209184312534,2.607126000000001
587725039558787122,188.62443214,-3.22166374,19.238728,17.936817,17.444189,17.173977,16.924664,1231,40,2,129,3.47352,7.798198,94517456730587136,2,0.060442,335,52000,294,244.86561819508105,-19.500450048604357,1.7945389999999968
587722982299992261,232.5744453,-0.78904051,19.58102,17.925713,17.053846,16.569731,16.208294,752,40,2,595,2.45996,5.916661,102398708682850304,2,0.079529,363,51989,258,322.1918161119189,-20.486726524261847,2.5271739999999987
587722982291734550,213.75262592,-0.79695438,16.900972,14.931221,14.058981,13.626197,13.309146,752,40,2,469,3.775903,12.022076,85508603233959936,2,0.038504,303,51615,132,155.98930814637833,-21.906493159331266,2.841991
587722983898873958,205.90680985,0.58480896,18.634365,17.71854,17.38345,17.110302,17.031351,752,40,5,416,1.840274,4.643839,84382945686585344,2,0.101219,299,51671,571,410.06341630137837,-20.6808051277451,1.250914999999999
588848901516230686,163.85477955,1.09571238,18.624849,17.394659,16.822952,16.451225,16.198862,756,44,6,321,3.576927,8.547829,77910043437039616,2,0.054326,276,51909,574,220.0881766663243,-19.8900315624602,1.8018970000000003
587728949046804658,148.24053551,0.11791769,18.932676,17.649458,17.10763,16.737947,16.548199,2141,40,4,38,2.406785,5.709777,75375474179571712,2,0.082404,267,51608,173,333.8391582301622,-20.510056383193913,1.8250460000000004
587724648447738090,170.82828999,-3.37319422,19.506191,18.220497,17.778538,17.538832,17.342175,1140,40,1,120,4.497441,10.319126,91985792523567104,2,0.044913,326,52375,287,181.95376575883785,-18.521267241390863,1.727653
588848900445700277,171.20877419,0.33414122,18.956537,17.690035,17.110926,16.743053,16.541157,756,44,4,370,2.843029,6.747157,79034667663097856,2,0.068918,280,51612,556,279.20400838437837,-20.118682244661073,1.8456110000000017
