objid,type,ra,dec,u,g,r,i,z,redshift
1237649954403713104,GALAXY,20.0083371151929,14.8610510519321,17.42368,15.4232,14.45244,13.97545,13.65047,0.05368993
1237649954407907351,GALAXY,29.8947064964231,14.0082008653632,15.56284,13.64064,12.73235,12.22808,11.89722,0.01532596
1237649962457628702,GALAXY,55.6670868907429,-6.38182130292776,16.43522,14.43807,13.5848,13.16058,12.84801,0.0211722
1237649962993582140,GALAXY,53.5739288820145,-6.26499945038653,15.7389,13.88272,13.04766,12.64771,12.37214,0.01752557
1237652629102329860,GALAXY,8.66701974125421,-10.7665433417515,15.11635,13.24292,12.47299,12.06907,11.82278,0.02064685
1237652629104623657,GALAXY,14.076462757815,-10.673850517044,16.91713,15.17052,14.45045,14.10424,13.84674,0.02259914
1237652899150889022,GALAXY,31.1451802561988,-10.1084779230941,16.69022,15.52113,15.13861,14.96115,14.87188,0.006396601
1237652947455770709,GALAXY,8.99928553075978,-10.1216958833696,15.45456,13.52925,12.67383,12.25707,11.99701,0.01973811
1237652947455836236,GALAXY,9.12052082320496,-10.1060633752891,15.16751,13.79072,12.9663,12.61538,12.37833,0.01964634
1237652948529905706,GALAXY,9.89913541530571,-9.19453671174014,15.48893,13.98055,13.22197,12.78759,12.41357,0.01632576
1237652948532199469,GALAXY,15.1909590958696,-9.18570923008429,15.38822,13.8619,13.05938,12.69512,12.3982,0.01513894
1237653471442829323,GALAXY,40.749248608941,-8.2894995958515,16.10472,14.15161,13.3553,12.92433,12.6441,0.03156169
1237653500970795150,GALAXY,40.0671555164581,-8.77695333501724,15.7143,13.99245,13.2767,12.90594,12.72318,0.02427462
1237653651302711312,GALAXY,10.8849592361729,14.3425614778113,14.55139,13.23374,12.49678,12.12605,11.79469,0.01482623
1237653652911226937,GALAXY,5.997470515038,15.7704309079714,15.63618,14.27437,13.76248,13.49225,13.34302,0.01770679
1237657191981187126,GALAXY,5.1074279304392,0.826360837345114,17.98041,16.76839,15.99411,15.61873,15.26121,0.01692026
1237663716555554832,GALAXY,9.89512804609012,0.859958671174391,15.02831,13.38069,12.76942,12.42095,12.30913,0.0146116
1237663784747270171,GALAXY,29.6705748499883,0.529223612472801,15.73772,14.18749,13.45656,13.06403,12.73716,0.02327956
1237663785278505076,GALAXY,16.8440739988773,0.92594301235585,15.70307,13.90694,13.0944,12.68643,12.40368,0.01782968
1237670961081483337,GALAXY,32.1040859347756,14.3495710773247,15.2139,13.6694,12.82349,12.36607,11.96359,0.01477035
1237673700743053424,GALAXY,38.8862567323542,-7.15451055849068,14.8891,13.14228,12.51711,12.23533,12.2236,0.005097995
1237679437739524108,GALAXY,32.1756008758787,-7.79075685266213,14.61267,13.78889,13.37642,13.22864,13.07292,Null
1237679437739524213,GALAXY,32.2445070641098,-7.76680971085414,15.32611,13.48697,12.69888,12.31712,12.06874,0.01286314
1237680099168157713,GALAXY,34.2698838893468,1.24416785717392,15.36047,13.50384,12.68252,12.25405,11.97757,0.02141141
