objid,ra,dec
587722983352762610,184.76515377,0.08097838
587728947975749772,154.40633295,-0.77982154
587728948512620721,154.43332054,-0.30630697
587748930311880803,174.1756524,0.87320808
588848898846163110,196.52034876,-1.02435589
588848899369730278,166.1305689,-0.46860764
588848899371434098,169.97608114,-0.55575747
588848900454219940,190.7243559,0.26439125
587722983364296855,211.03081541,0.14401656
587724648185397285,184.7934109,-3.46636802
587724649254617285,174.53427133,-2.48236789
587724650869293191,183.72910861,-1.36589503
587725039564030047,200.56117553,-3.08818501
587725040089694285,174.99904441,-2.69911239
