objid,ra,dec
587722981743001771,186.7349684,-1.20011839
587722981746540707,194.77599613,-1.09104604
587722982278889623,184.47038104,-0.65722452
587722982281117913,189.59276118,-0.83151571
587722982281183264,189.62772078,-0.82577124
587722982818578601,190.89778061,-0.2351001
587722983358464104,197.68629049,0.03208212
587722983892582590,191.49158736,0.48077727
587722984426635361,185.02575191,0.96120554
587722984427946047,188.02605315,0.98885476
587725074458804455,147.49045317,-0.31631796
587725075531956362,146.0509744,0.44010797
587728947441631312,160.73398477,-1.06957019
587728947974635668,151.93686682,-0.63532059
587728948511506596,151.82381288,-0.26040128
587728948511703259,152.26776564,-0.37920037
587728949047460017,149.76351509,0.03706147
587728949049229481,153.85950413,0.12015856
587728949052571892,161.51410503,0.14685776
587728949052637465,161.6813567,0.02333423
587728949589377182,161.2555558,0.60163869
587728950121136283,149.64550879,1.01425194
587748927623135479,164.156201,-1.06415876
587748928163479754,172.18620927,-0.81734711
587748928696483943,163.26415426,-0.33289521
587748929234206856,165.21336774,0.05772049
587748929235058852,167.17154506,0.19322559
587748929236172998,169.72416017,0.02301972
587748929237483612,172.67620751,0.09547377
587748929241874625,182.80874763,0.18494751
587748929771864203,167.000834,0.46926109
587748930309849248,169.64171255,1.01173141
588848898827550924,153.96561582,-0.97409744
588848898827944016,154.95566876,-1.02264346
588848898832007333,164.19001886,-0.87840324
588848898832662660,165.74063723,-0.96212489
588848898833842354,168.32642108,-1.0440073
588848898834628665,170.14656032,-0.88217915
588848898842361970,187.8268471,-0.84871337
588848898843017281,189.26530802,-0.94235717
588848898846359573,196.91122839,-0.94245717
588848899367895255,162.0176638,-0.57641244
588848899369730265,166.11172711,-0.53659554
588848899371696282,170.58122198,-0.62087908
588848899899129974,149.06269091,-0.02919883
588848899902013525,155.68864488,-0.00309097
588848899906535540,166.01292617,-0.15714009
588848899909222572,172.1362774,-0.17168028
588848899920429175,197.66412063,-0.12564798
588848900436066503,149.2576013,0.35650372
588848900446945523,174.14187789,0.23330198
588848900451008674,183.3772864,0.28084693
588848900455268534,193.14658337,0.23123567
588848900976083057,156.42555948,0.76302504
588848900978442439,161.83258012,0.69737409
588848900982505499,171.03826724,0.70056947
588848900986110263,179.38107643,0.81712803
588848900986962080,181.31273769,0.67973536
588848900988403917,184.55283191,0.83646868
588848901517541527,166.81747432,1.09244217
588848901517738138,167.3443708,1.15041106
588848901522980870,179.2375363,1.11585895
588848901526519845,187.34016899,1.05694187
588848901527240718,188.98914079,1.2394406
588848901529993334,195.32015374,1.15135836
587722981750341885,203.49766881,-1.09053064
587722982286622949,202.16680118,-0.74769419
587722982293045429,216.72046013,-0.734437
587722982293045434,216.73247895,-0.70224676
587722982299074952,230.60308113,-0.73460393
587722983361020041,203.53120127,0.02885881
587722983364690155,212.01332028,0.04929548
587722983370719551,225.78836583,0.15825629
587722983899660407,207.5823298,0.54810078
587722983899791506,207.98493302,0.5511091
587722983901364461,211.55414365,0.45974809
587722983904575550,218.83216762,0.47572807
587722984432271541,197.89193327,0.84990173
587722984436859188,208.46130396,0.8453334
587722984438038540,211.01545268,0.89652514
587724648180220062,172.9784833,-3.46035928
587724648182186122,177.40753466,-3.3619522
587724648191951031,199.85607282,-3.26167483
587724648718860539,177.05382886,-2.92589485
587724648720695544,181.16584541,-2.96730058
587724648725872750,193.03759418,-2.8968221
587724648727445651,196.70864625,-3.06108098
587724649259008180,184.56382856,-2.60540927
587724649259008185,184.56935667,-2.70718439
587724649262547063,192.54987961,-2.59105427
587724649796993197,187.11792163,-2.08888165
587724649800663176,195.4772398,-2.16742249
587724650864181390,172.09265088,-1.25907803
587724650868637852,182.29065851,-1.32352951
587724650869686431,184.69362278,-1.32841438
587724650869948517,185.22446059,-1.33882003
587725039014510737,171.60496644,-3.51643696
587725039020212363,184.66281956,-3.7040136
587725039026241778,198.48309819,-3.52728113
587725039556624565,183.70111606,-3.29328587
587725039562850472,197.84154091,-3.19815979
587725039564030085,200.60280641,-3.20220669
587725040089628803,174.82278915,-2.75954913
587725040089694299,174.86718868,-2.69471447
587725040089825448,175.26956252,-2.86467834
587725040096182430,189.79737855,-2.86010018
