objid,ra,dec
587728948512620721,154.43332054,-0.30630697
587722983352762610,184.76515377,0.08097838
587724650869293191,183.72910861,-1.36589503
588848899371434098,169.97608114,-0.55575747
588848899369730278,166.1305689,-0.46860764
587722983364296855,211.03081541,0.14401656
587724649254617285,174.53427133,-2.48236789
587725040089694285,174.99904441,-2.69911239
587725039564030047,200.56117553,-3.08818501
587728947975749772,154.40633295,-0.77982154
587748930311880803,174.1756524,0.87320808
587724648185397285,184.7934109,-3.46636802
588848899909222709,172.12635574,-0.12166013
588848898828468408,156.18002246,-0.88030813
588848900454219940,190.7243559,0.26439125
588848900434559074,145.80018302,0.41416635
587722984432992478,199.60610765,0.90328258
588848899917414609,190.84380767,-0.00078054
587724649257894099,182.02570182,-2.53222811
588848898846163110,196.52034876,-1.02435589
587722982836863440,232.68814858,-0.36985682
587724650866147471,176.53806123,-1.34651892
588848900973133997,149.64743407,0.74277936
587725040092840092,182.18229105,-2.74948821
588848898835546308,172.34308856,-1.03573516
587724648187035796,188.63459154,-3.42828301
587722983891992788,190.0838763,0.53805104
587722983896121565,199.54354265,0.57818126
587728947976142992,155.26273357,-0.7787001
587724649802236034,199.02872312,-2.15295265
587748929776255175,177.13452537,0.51141417
588848899376611498,181.8502249,-0.43496904
588848900972740749,148.76192972,0.75750183
588848901524357269,182.39664405,1.13114534
587724648182710297,178.64086731,-3.40493043
587724649259335843,185.30773165,-2.50960101
587722981744771128,190.73857899,-1.22942345
588848900435017959,146.887741,0.21745491
587722982284460121,197.20879913,-0.81731721
587722982278693152,184.04450667,-0.80908888
588848899905028339,162.58073578,-0.0243575
587725039026241778,198.48309819,-3.52728113
588848901525995716,186.20628545,1.07848508
587722982835093680,228.64030225,-0.39136235
587724650327769306,173.20289217,-1.6417829
588848901523112128,179.64560197,1.08818744
588848898832203922,164.57751324,-1.02894709
588848900973330470,150.10152271,0.70459265
587725074995085328,146.06574907,0.18367498
587725039553544283,176.57076467,-3.17903812
587725039560884369,193.31489412,-3.17506974
587728947979157650,162.20398007,-0.67297591
587722984426635361,185.02575191,0.96120554
588848899371696190,170.62369617,-0.52944802
587724649265889526,200.31130462,-2.50069517
588848899902537891,156.78764136,-0.03771475
587724650872111260,190.26514908,-1.28604215
587728947976470695,156.08771075,-0.77713749
588848901525930152,186.04936179,1.21302513
587725040097493283,192.81891885,-2.71735156
587724648718008493,175.11509718,-2.90542937
587722983909228808,229.42078576,0.54639644
587728949048574108,152.34280183,0.01338445
587725039020212392,184.72479704,-3.73271428
587725040094281910,185.39736851,-2.91181637
588848900440653976,159.69789312,0.3474473
587725039022964787,190.99185783,-3.5906308
588848899903783024,159.63160541,-0.06491598
587722982298616131,229.44368389,-0.77612454
588848898829582411,158.65950483,-0.85267301
587724648723775664,188.29077745,-3.01429442
587724649266020472,200.60887479,-2.41827481
587722984435613851,205.53748937,0.87067928
587728948512620700,154.40249994,-0.23107175
587748929778745508,182.81374955,0.42891131
587748928699301981,169.67904646,-0.36167554
588848899365339296,156.12827532,-0.62882519
587722981749293136,201.10703545,-1.08804337
587724648718663860,176.56279124,-3.07114877
587748928159613128,163.33758215,-0.68663623
587722982825591045,206.90602588,-0.27740619
588848901525733512,185.6189988,1.05707204
587748928698777831,168.54951313,-0.30470167
588848900981588057,168.99124526,0.81027168
587722984429060231,190.57511094,0.8672893
588848898840789137,184.23605256,-0.85195635
587724648179761314,171.86570289,-3.3227591
588848900451270730,183.9687494,0.40069608
588848900986175683,179.458947,0.82375795
587725039026241683,198.46234922,-3.60625423
588848898831548629,163.17764517,-0.92639754
588848900437246132,151.98502365,0.27216569
587725039558787122,188.62443214,-3.22166374
587722982299992261,232.5744453,-0.78904051
587722982291734550,213.75262592,-0.79695438
587722983898873958,205.90680985,0.58480896
588848901516230686,163.85477955,1.09571238
587728949046804658,148.24053551,0.11791769
587724648447738090,170.82828999,-3.37319422
588848900445700277,171.20877419,0.33414122
