objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroR50_r,petroR90_r,specobjid,specClass,redshift,plate,mjd,fiberid,distance,absolute_mag_r,u_r,size
587722983352762610,184.76515377,0.08097838,19.113068,18.061754,17.713053,17.472382,17.470758,752,40,4,275,3.631445,6.870253,81288133567578112,2,0.068118,288,52000,471,275.9630088384324,-19.491201357173704,1.4000149999999998,9191.755607061816
587728947975749772,154.40633295,-0.77982154,18.34734,17.015879,16.443138,16.14418,15.906834,2141,40,2,79,4.963531,10.54148,76502554883653632,2,0.044435,271,51883,97,180.01726853013514,-19.8334328385062,1.904201999999998,9200.059236434876
587728948512620721,154.43332054,-0.30630697,18.785788,17.687403,17.222265,16.904732,16.734482,2141,40,3,79,3.169541,7.214097,76502555227586560,2,0.064878,271,51883,179,262.8369606773513,-19.87616718285478,1.563523,9192.704097276364
587748930311880803,174.1756524,0.87320808,19.272934,18.064795,17.541428,17.175577,17.002415,6793,40,6,91,1.828024,4.477408,79597815054991360,2,0.104595,282,51658,525,423.74043438527025,-20.59407153728775,1.7315059999999995,9198.170281008819
588848898846163110,196.52034876,-1.02435589,19.46298,18.123535,17.365026,16.929749,16.651524,756,44,1,539,2.344788,5.154174,82976921842876416,2,0.09072,294,51986,124,367.5293485102702,-20.46143412372892,2.0979540000000014,9183.875072024024
588848899369730278,166.1305689,-0.46860764,17.381811,16.219324,15.694599,15.378954,15.146102,756,44,2,336,4.599839,10.705782,78191512042602496,2,0.04369,277,51908,79,176.99908770297296,-20.545256139532594,1.6872119999999988,9186.800606579895
588848899371434098,169.97608114,-0.55575747,19.000431,17.069723,16.126999,15.698524,15.358054,756,44,2,362,2.335398,6.393419,78754788396761088,2,0.073194,279,51984,75,296.5271509574594,-21.233323324439898,2.8734319999999975,9191.205981480793
588848900454219940,190.7243559,0.26439125,18.917402,17.902987,17.49131,17.187588,17.013548,756,44,4,500,2.458688,5.268657,82132248899354624,2,0.088773,291,51928,385,359.6415658653243,-20.288039399492945,1.4260920000000006,9186.385636807956
587722983364296855,211.03081541,0.14401656,17.938082,15.990051,15.126359,14.720288,14.404709,752,40,4,451,3.588359,9.813998,84947059785859072,2,0.047725,301,51942,621,193.3458791628378,-21.305315601313275,2.8117230000000006,9199.320552722957
587724648185397285,184.7934109,-3.46636802,18.93347,17.882771,17.24638,16.910789,16.629417,1140,40,1,213,1.64153,4.035077,93955850418257920,2,0.115934,333,52313,131,469.6775516996216,-21.112619017586884,1.6870900000000013,9188.116580630358
587724649254617285,174.53427133,-2.48236789,18.778826,17.574356,17.018112,16.631207,16.418991,1140,40,3,144,2.701646,6.341164,92266920748777472,2,0.073778,327,52294,559,298.89308062599997,-20.359467306197917,1.7607140000000001,9188.81934926002
587724650869293191,183.72910861,-1.36589503,19.443668,17.946211,17.163921,16.69401,16.374643,1140,40,6,206,2.560132,6.246695,93674609416601600,2,0.074915,332,52367,619,303.49935123067564,-20.246867835256733,2.2797470000000004,9191.426857205766
587725039564030047,200.56117553,-3.08818501,17.013329,15.126464,14.256272,13.845494,13.534652,1231,40,2,209,4.598125,13.407208,96204974630895616,2,0.034876,341,51690,170,141.29137520551348,-21.49430626094222,2.7570569999999996,9183.936370206777
587725040089694285,174.99904441,-2.69911239,17.879269,16.634909,16.104078,15.816322,15.56774,1231,40,3,38,5.645897,10.873626,92548342814343168,2,0.043011,328,52282,232,174.24828933835133,-20.10176461578535,1.7751909999999995,9185.816833605815
