objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,z
587725073921671406,21.56,19.691,19.341,18.912,18.625,2.829
587725073921409279,21.471,20.428,20.372,20.024,19.56,2.298
587725073921474758,19.751,19.586,19.354,19.177,19.226,1.476
587725074995347521,19.735,19.397,19.275,18.999,18.917,1.77
587725073921409248,19.812,19.215,19.078,18.976,18.745,2.29
587725073921278105,19.653,19.133,18.67,18.412,17.941,0.272
587725073921277983,18.725,18.438,18.702,18.591,18.54,0.517
587725073921278124,19.871,19.809,19.727,19.681,19.261,0.368
587725074458280075,19.841,19.533,19.216,19.086,18.601,0.326
588848899897753722,19.564,19.224,19.126,19.049,18.914,2.191
587725074995019808,19.595,19.426,18.704,18.436,17.845,0.289
587725073921146984,19.364,18.995,18.797,18.676,18.803,1.36
588848899897688088,19.54,19.256,19.163,18.938,18.907,1.616
587725074994888832,19.699,18.132,17.284,16.795,16.503,0.063
587725074458083385,19.625,19.217,18.96,18.584,18.571,1.586
587725074457952301,19.664,18.996,18.862,18.808,18.605,2.546
587725073920950375,18.7,18.628,18.513,18.538,18.71,1.167
587725074457821263,19.651,19.234,19.195,19.032,18.964,0.652
587725074994757692,19.62,19.43,19.216,19.035,19.113,1.479
587725074994757837,20.141,19.665,19.533,19.121,18.833,0.489
587725076068630678,21.465,20.654,20.397,20.4,19.512,0.695
588848900434428058,20.147,19.8,19.495,19.17,19.027,1.605
588848900434493481,19.096,18.918,18.591,18.467,18.4,1.406
587725076068827283,20.51,19.812,19.479,19.368,19.121,2.531
587725074995085328,19.013,18.41,17.711,17.176,17.003,0.127
587725074995216555,20.045,19.706,19.476,19.173,19.011,1.898
587725075532152841,19.498,18.527,18.223,17.85,17.71,0.649
587725074995413096,20.766,20.315,19.914,19.779,19.199,0.367
587725076069023933,19.917,19.648,19.41,19.206,18.909,1.998
587725076069286009,25.5,22.24,20.31,20.082,20.379,3.878
588848900435214376,18.957,18.603,18.436,18.193,18.178,0.585
588848898825125907,19.004,19.088,18.743,18.711,18.725,1.301
587728947973128386,20.071,20.039,19.447,19.409,19.483,1.385
588848899899130050,18.867,18.556,18.668,18.428,18.355,0.513
587728949046935652,19.379,19.011,18.85,18.858,18.824,0.885
587728949315174501,19.336,19.228,18.922,18.862,18.882,1.063
587728947973062797,18.85,18.751,18.554,18.549,18.684,1.382
587725074995806305,18.98,18.654,18.581,18.619,18.524,0.876
588848899898540297,21.826,20.919,20.194,19.574,19.282,1.88
588848899361734723,19.997,18.586,17.655,17.187,16.813,0.138
588848899361603774,20.179,19.654,19.494,19.096,18.968,1.894
587725074458804365,18.343,18.17,18.071,17.814,17.79,1.777
588848898824536186,18.942,18.57,18.404,18.139,18.185,1.604
587725074995675167,18.796,18.495,18.327,18.233,18.03,0.422
587725075532415173,20.177,19.725,19.38,19.163,18.903,2.245
